author,authordescription,authorfavouritecount,authorfollowercount,authorfriendcount,authorid,authorimageurl,authorlang,authorlocation,authorname,authortimezone,authorurl,body,deviceinfo,docid,doclatitude,doclongitude,isretweet,referenceauthor,referenceauthorid,publisheddatetime,publisheddatetimestr,tags,listoflinks,mentionedusernames,mentionedusers,retweetcount
GarafaNovac,"@shahidkapoor #Shahid #Misha #Mira my family ?
#Shanatics my friends ?",7941,96,171,9.8193556E17,http://pbs.twimg.com/profile_images/1038656414531682305/PvnAItDg_normal.jpg,it,Italia,Garafa ?BGMC21?,,,"RT @ArjunReddyFC: Poster by Team #ArjunReddyFC 
Dadication and Love For @shahidkapoor' Arjun Reddy Hindi Reamke Is So High For This FC 
Sta…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383593E18,,,1,,,1852018323,"8 September, 2018 9:32:03 AM GMT",ArjunReddyFC,,Arjun Reddy FC;Shahid Kapoor,ArjunReddyFC;shahidkapoor,10
ArjunReddyFC,"Arjun Reddy Remake Release on 21 June 2019 Stars @ShahidKapoor Directed by Sandeep Vanga Produced by Bhushan Kumar, Murad Khetani, Krishan Kumar & Ashwin Varde",4,37,9,1.0381785E18,http://pbs.twimg.com/profile_images/1038358696445849600/NnkwP1v8_normal.jpg,en,,Arjun Reddy FC,,,"Poster by Team #ArjunReddyFC 
Dadication and Love For @shahidkapoor' Arjun Reddy Hindi Reamke Is So High For This F… https://t.co/tExad528Tg","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383586E18,,,0,,,1852018151,"8 September, 2018 9:29:11 AM GMT",ArjunReddyFC,https://twitter.com/i/web/status/1038358577021444096,Shahid Kapoor,shahidkapoor,10
rashi_giria,"• Fan account • // 16th April, 2016. ? // Admin- @MishaZainKapoor",23499,2472,26,2587824564,http://pbs.twimg.com/profile_images/984090418055995392/j3lLdV8-_normal.jpg,en,India,?? Shahid Kapoor’s BAE ??,,https://t.co/7rzr1LQjMe,RT @ArjunReddyFC: Latest Update : Shooting Starts in October #ArjunReddy remake release on 21 June 2019 Stars @shahidkapoor Directed by San…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0383521E18,,,1,,,1852016607,"8 September, 2018 9:03:27 AM GMT",ArjunReddy,,Arjun Reddy FC;Shahid Kapoor,ArjunReddyFC;shahidkapoor,22
Khadija_ag,"#Catmom ?| @shahidkapoor's #Shanatic |?Adore @S1dharthM | #Aromatherapy ? #Kumon | @Shahid_Online Admin @ShanaticArt | #Foodie ? #Baking ? #animals
#TVshows",4346,2748,1123,128979184,http://pbs.twimg.com/profile_images/866383775491661824/CjZgsSS0_normal.jpg,en,South Africa,Khadija ?/ #SaveShadowhunters,,,"RT @Shahid_Online: DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .
@shahidkapoor…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383501E18,,,1,,,1852016141,"8 September, 2018 8:55:41 AM GMT",,,Shahid Kapoor Online ?;Murad Khetani;Shahid Kapoor,Shahid_Online;MuradKhetani;shahidkapoor,25
nimraarif23,"Proud Pakistani?Muslim? @shahidkapoor ?
Make it Happen Shock Everyone",20647,295,20,3414553325,http://pbs.twimg.com/profile_images/1029415927757107200/Mp2AIuoC_normal.jpg,en,,Nimra Arif,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383433E18,,,1,,,1852014519,"8 September, 2018 8:28:39 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
shahid_kapoorfa,"Biggest fan of shahid kapoor and I'm proud to be a Shanatics, I made this account only for you shahid kapoor and I will keep supporting you till my last breath.",49868,224,194,7.5085555E17,http://pbs.twimg.com/profile_images/1037207636679245826/-4tCtZN9_normal.jpg,en,Italy,Tommy Singh ?? the gabru,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383433E18,,,1,,,1852014516,"8 September, 2018 8:28:36 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
shahid_kapoorfa,"Biggest fan of shahid kapoor and I'm proud to be a Shanatics, I made this account only for you shahid kapoor and I will keep supporting you till my last breath.",49868,224,194,7.5085555E17,http://pbs.twimg.com/profile_images/1037207636679245826/-4tCtZN9_normal.jpg,en,Italy,Tommy Singh ?? the gabru,,,RT @ArjunReddyFC: Dadicated Fan Club of #ArjunReddy remake release on 21 June 2019 Stars @shahidkapoor Directed by Sandeep Vanga Produced b…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383424E18,,,1,,,1852014296,"8 September, 2018 8:24:56 AM GMT",ArjunReddy,,Arjun Reddy FC;Shahid Kapoor,ArjunReddyFC;shahidkapoor,12
shahid_kapoorfa,"Biggest fan of shahid kapoor and I'm proud to be a Shanatics, I made this account only for you shahid kapoor and I will keep supporting you till my last breath.",49868,224,194,7.5085555E17,http://pbs.twimg.com/profile_images/1037207636679245826/-4tCtZN9_normal.jpg,en,Italy,Tommy Singh ?? the gabru,,,"RT @Nani4u143: Actress For #ArjunReddy Remake To Be Finalized Soon
Producer @MuradKhetani Talks About Why Tara Sutaria Had To Opt Out https…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383421E18,,,1,,,1852014219,"8 September, 2018 8:23:39 AM GMT",ArjunReddy,,Movies&Politics ? ? N@Ni R€DDY?;Murad Khetani,Nani4u143;MuradKhetani,17
sanupaul42,,21223,79,173,8.1740179E17,http://pbs.twimg.com/profile_images/1000624198501384192/f6B-OvX2_normal.jpg,en,"????, ????",Sanu paul,,,RT @ArjunReddyFC: Latest Update : Shooting Starts in October #ArjunReddy remake release on 21 June 2019 Stars @shahidkapoor Directed by San…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383419E18,,,1,,,1852014183,"8 September, 2018 8:23:03 AM GMT",ArjunReddy,,Arjun Reddy FC;Shahid Kapoor,ArjunReddyFC;shahidkapoor,22
PerfectlyAdnan,? possessing ? lifetime obsession of Sh?hid K?poor •    • fan account •,119895,4734,252,1487476506,http://pbs.twimg.com/profile_images/1039188697688748037/uElNGltF_normal.jpg,en,"Karachi, Pakistan",Adnan Ahmed Hashmi ?,,https://t.co/Hn1eRlbM40,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383416E18,,,1,,,1852014113,"8 September, 2018 8:21:53 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
PerfectlyAdnan,? possessing ? lifetime obsession of Sh?hid K?poor •    • fan account •,119895,4734,252,1487476506,http://pbs.twimg.com/profile_images/1039188697688748037/uElNGltF_normal.jpg,en,"Karachi, Pakistan",Adnan Ahmed Hashmi ?,,https://t.co/Hn1eRlbM40,"RT @Shahid_Online: DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .
@shahidkapoor…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383415E18,,,1,,,1852014085,"8 September, 2018 8:21:25 AM GMT",,,Shahid Kapoor Online ?;Murad Khetani;Shahid Kapoor,Shahid_Online;MuradKhetani;shahidkapoor,25
shahid_kapoorfa,"Biggest fan of shahid kapoor and I'm proud to be a Shanatics, I made this account only for you shahid kapoor and I will keep supporting you till my last breath.",49868,224,194,7.5085555E17,http://pbs.twimg.com/profile_images/1037207636679245826/-4tCtZN9_normal.jpg,en,Italy,Tommy Singh ?? the gabru,,,RT @ArjunReddyFC: Latest Update : Shooting Starts in October #ArjunReddy remake release on 21 June 2019 Stars @shahidkapoor Directed by San…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0383414E18,,,1,,,1852014045,"8 September, 2018 8:20:45 AM GMT",ArjunReddy,,Arjun Reddy FC;Shahid Kapoor,ArjunReddyFC;shahidkapoor,22
